,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
V12,0.29066347422098343,0.0696202915595205,-0.05892995568373339,0.3621320621737312,-0.4283962990995819,-0.05693647225949096,-0.10436249370789902,-0.16691807871549974,0.15585108055023797,-0.1633330809506128,0.24446625211979162,1.7440892025290713,-0.6431067869321958,0.28165748915847794,0.27461818100160024,-0.1626104060074807,0.14219865793775102,-0.22398801625883863,-0.07239419723127678,-0.1303092630475981,0.28927703705370766,-0.31172658856379576,-0.13408955591850272,-0.3425557270841319,-0.11938567145994813,0.017356513035132925,-0.4738092564913419,0.08183674214941955,0.3913753912987507,-0.19169246720828806
V13,-0.7670987776526703,-0.5192772994466606,0.5860040547250358,-0.3022832964475054,0.7490320092118817,0.5719689374655476,0.09525752294416914,-0.21950418515077677,-0.3110800622917186,-0.02968015403393154,-0.9013723315445399,-0.6431067869321958,2.591881711423534,-1.0107745295950823,-0.3351618533706913,0.49378798100979066,-0.5063051684206105,0.2433362093321377,-0.34200014576897897,0.3388924012976911,-0.3442423830521963,0.7380628507901543,0.24629907999878384,0.5131597451008669,-0.06056718173873312,-0.1442531230342768,1.2792198589959851,-0.7642958387093867,-0.7555094680651377,0.5740799036855233
V14,0.8851116760397075,0.5039582093202843,-0.5713503910753963,0.36082931838395194,-0.6206843233139686,-0.5806741352347918,-0.19130535509811378,0.17856159052326614,0.3485483375137504,0.13185294608964418,0.8875810679462757,0.28165748915847794,-1.0107745295950823,2.5791701791653736,0.1710639213961489,-0.538378445101615,0.45436346481713447,-0.21465811521963465,0.10780676423523772,-0.45324074311466717,0.5056768823946214,-0.7584335256289022,-0.34228842209941934,-0.4494484928003925,0.012171875631781192,-0.00918791144263826,-1.347156660536705,0.8691963031698069,0.6034610742460219,-0.26116331727241276
V15,0.24302089377030092,0.050275380206764524,-0.02726915440845188,0.2659271953621056,-0.36787816187177647,-0.07616178472474207,-0.08504592300390505,-0.11469514664707904,0.15112273461331144,-0.20684487885751446,0.1677156855764113,0.2746181810016002,-0.33516185337069127,0.17106392139614895,1.5700207266955346,-0.30773973598001597,0.06877416539769292,-0.16328649149270233,0.08523493436838572,-0.06868483255951945,0.20849233955436622,-0.2737771648408063,-0.11401384723603611,-0.2917809659747931,-0.0830418318754594,0.08344998965572821,-0.325360256318189,0.044065192636012704,0.26249542280699034,-0.1898191056919663
V16,-0.5172230422437906,-0.25529301980487207,0.26983190327112605,-0.3276316486299134,0.37419128624611625,0.3314967439379491,0.16252949903341285,-0.017499238841922077,-0.19541153748017864,-0.04489920810644889,-0.4719989066613309,-0.1626104060074807,0.4937879810097906,-0.5383784451016151,-0.30773973598001597,1.5593129584193084,-0.21988659354729512,0.2146592408860014,0.1651059729884005,0.28374668500962674,-0.4092031741852849,0.4006013826641363,0.282497163039063,0.2804626101631112,0.054930937701489886,0.05219035194416199,0.9150981391058661,-0.41521487742196855,-0.41847552587519393,0.06820253567022573
V17,0.26434658386906096,0.24802061045246684,-0.4161511795281851,0.06030069144554359,-0.24384054372191347,-0.24214097448001964,-0.005214048335731282,0.14852348103160753,0.08312906915842622,0.12379052083301333,0.4184727785236644,0.14219865793775097,-0.5063051684206104,0.45436346481713447,0.0687741653976929,-0.2198865935472951,1.4552547721869096,-0.07271708239774359,0.07383895535118896,-0.1463615737080499,0.07348271697933863,-0.21530877408789,-0.07030358799780342,-0.13488916874528425,0.16556550721127966,0.01890724231116635,-0.5437232620014439,0.3552225642247593,0.3183050678104167,-0.2207127588198591
V18,-0.29277774192589967,0.06027609086698,0.025440973980431537,-0.37985098846759685,0.32398641559935554,0.10847221188765009,0.15166208054440333,0.16863591736290315,-0.1303960829056597,0.1118551174337879,-0.17146507448992557,-0.22398801625883863,0.24333620933213773,-0.21465811521963465,-0.1632864914927023,0.21465924088600138,-0.0727170823977436,1.475719384374864,0.2908116870820864,0.16012041203671934,-0.37203247700107206,0.22952312182851825,0.40221976491724565,0.26582109811520693,0.1385904768587857,0.04930290731887148,0.4132461731993292,-0.061181668327296865,-0.35069910909015867,0.017587964956492175
V19,0.012586774587479617,0.1646361952829163,-0.21081402729856832,-0.4792785409000168,-0.05682379467550619,-0.17564407355874476,0.4183531847051035,0.38654334658115974,0.06623075443301597,-0.06517023764000733,0.13321379526532975,-0.07239419723127681,-0.342000145768979,0.10780676423523773,0.08523493436838576,0.16510597298840046,0.07383895535118894,0.29081168708208643,2.3308047710535655,0.15439822868424857,-0.4496771717550103,-0.17650705175816228,0.2348014626460489,0.05873449405157257,0.26275301820230157,0.360106286820395,0.09879102688684871,0.25912520828791374,-0.229907838662404,-0.4561025712223251
V20,-0.5430258913702302,-0.1751403298449361,0.18216459723734463,-0.35389078941433216,0.3225359288997013,0.23354325882487753,0.18232359132761858,0.06786193182884175,-0.23856249168703095,-0.004656213836822664,-0.3783470881037099,-0.1303092630475981,0.33889240129769105,-0.4532407431146672,-0.06868483255951943,0.2837466850096268,-0.14636157370804992,0.16012041203671934,0.15439822868424857,1.6740377732846397,-0.45431716030950503,0.4316012784416024,0.27357574576402355,0.13282804743687143,0.10205459700488612,0.0998206839476955,0.695445625687665,-0.3916828575947785,-0.24224499715749953,-0.08323000081759513
V21,0.861452403756014,0.12308194390771492,-0.09081046148545811,0.7991884134994182,-0.5736342423563338,-0.244423347508098,-0.42529668309422936,-0.3532861868809337,0.6533587085813599,-0.20928933003801548,0.42821361426970356,0.28927703705370766,-0.34424238305219623,0.5056768823946213,0.2084923395543662,-0.4092031741852849,0.07348271697933864,-0.37203247700107206,-0.4496771717550104,-0.4543171603095051,1.984432294310618,-0.7129835754251733,-0.52471074151783,-0.550407915857411,-0.45071562012934513,-0.17894254719530356,-0.9572582440787936,0.37035312945070564,0.38309171496706274,0.2504532323571861
