"","11874.X15.1095","11874.X15.1","11874.X15.515","11874.X15.1053","11874.X15.1092","11874.X15.2","11874.X15.1083","11874.X15.489","11874.X15.85","11874.X15.910","11874.X15.376","11874.X15.909","11874.X15.920","11874.X15.1055","11874.X15.1062","11874.X15.1227","11874.X15.1231","11874.X15.1239","11874.X15.1261","11874.X15.551","11874.X15.696","11874.X15.698","11874.X15.794","11874.X15.959","11874.X15.960","11874.X15.1085","11874.X15.850","11874.X15.1245","11874.X15.1081","11874.X15.1086","11874.X15.1254","11874.X15.1255","11874.X15.1256","11874.X15.1281","11874.X15.487","11874.X15.527","11874.X15.7","11874.X15.848","11874.X15.865","11874.X15.492","11874.X15.1251","11874.X15.1091","11874.X15.1253","11874.X15.1280","11874.X15.15","11874.X15.1262","11874.X15.146","11874.X15.231","11874.X15.293","11874.X15.303","11874.X15.587","11874.X15.73","11874.X15.149","11874.X15.261","11874.X15.248","11874.X15.218","11874.X15.311","11874.X15.304","11874.X15.317","11874.X15.104","11874.X15.110","11874.X15.123","11874.X15.128","11874.X15.134","11874.X15.188","11874.X15.206","11874.X15.212","11874.X15.224","11874.X15.236","11874.X15.243","11874.X15.256","11874.X15.267","11874.X15.275","11874.X15.281","11874.X15.286","11874.X15.297","11874.X15.301","11874.X15.306","11874.X15.308","11874.X15.320","11874.X15.327","11874.X15.338","11874.X15.418","11874.X15.440","11874.X15.450","11874.X15.470","11874.X15.49","11874.X15.584","11874.X15.585","11874.X15.61","11874.X15.68","11874.X15.829","11874.X15.834","11874.X15.99","11874.X15.136","11874.X15.325","11874.X15.412","11874.X15.194","11874.X15.163","11874.X15.295","11874.X15.142","11874.X15.424","11874.X15.322","11874.X15.446","11874.X15.80","11874.X15.181","11874.X15.144","11874.X15.448","11874.X15.55","11874.X15.42"
"4479443",12,3,9,0,0,5,2,2,17,15,7,5,18,1,0,14,0,1,7,1,3,0,10,0,4,10,4,16,9,1,8,15,4,0,36,4,3,14,3,12,0,6,0,6,22,0,7,1,10,0,0,1,27,0,0,7,21,7,57,0,0,5,0,0,0,2,4,1,1,1,0,2,1,5,0,6,1,0,5,2,0,0,2,4,4,0,4,2,0,12,3,0,24,2,2,2,2,7,2,4,14,2,0,0,1,1,0,0,0,0
"172163",0,0,0,0,0,0,0,0,48,2,0,14,9,0,21,299,0,0,0,276,0,0,543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,17,3,1,0,80,0,0,80,83,2,30,0,0,290,0,6,0,17,0,5,105,13,1591,0,0,14,1,3,1,0,15,3,0,93,0,13,18,2,0,0,46,0,1,5,0,75,0,3,11,0,5,1,22,0,4,0,18
"312969",0,0,2,0,0,0,2,0,0,3,2,2,0,3,0,0,0,0,2,0,2,0,0,0,2,0,6,0,0,0,0,0,0,2,0,0,4,0,0,9,1,6,0,1,11,2,19,2,17,0,18,6,4,11,2,57,1,67,23,3,4,20,0,1,39,41,4,18,4,1,0,0,2,30,39,11,9,21,2,29,6,20,0,11,7,12,11,17,13,202,27,11,3,23,8,38,2,5,4,14,29,38,9,6,0,13,14,3,5,2
"4346675",454,215,22,1621,1048,222,2917,130,44,127,1485,90,117,113,67,82,381,232,164,8,63,39,78,125,79,165,30,80,9,3,22,12,10,773,156,251,149,0,214,54,226,143,299,1261,43,223,29,203,18,565,43,80,102,127,33,568,252,207,675,141,41,130,33,108,95,115,432,234,121,3,26,62,165,284,1,136,46,18,156,42,426,148,304,443,60,1,36,134,123,1099,3,68,159,141,760,24,308,84,166,0,113,140,12,20,85,166,2,36,12,23
"350503",0,24,77,0,1,0,1,0,72,7,30,2,16,0,7,2,8,23,10,85,24,5,16,7,3,29,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,1,27,0,0,3,1,0,15,180,5,0,19,39,1,0,27,42,0,66,187,54,94,3,184,99,56,0,15,20,238,81,525,4,1276,29,0,106,5,8,10,1,206,13,0,3,71,22,13,31,74,46,64,2,12,12,29,246,4,5,68,21,4,39,1,1,9,23,12
"4324245",1,0,1,0,0,0,153,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,51,1,23,0,1,1,128,2,2,1,72,0,2,22,56,1161,106,9,126,0,98,671,0,132,32,4,58,230,140,1,5,34,93,817,95,35,269,8,9,29,1,215,12,233,179,4,259,375,65,3056,9,9,4,45,365,0,1,44,168,1,469,13,0,2,46,447,79,113,39,140
"579541",0,0,4,5,0,0,1,0,0,0,0,0,0,1,0,0,2,16,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,23,2,0,1,14,2,0,859,86,0,5,7,8,9,22,19,2,6,0,2,1,9,779,51,109,166,4,0,4,19,243,1,0,30,0,0,4,20,3,7,14,123,62,5,0,12,72,1,23,4,1,4,17,4,26,8,0,1,0,4
"4396235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,42,10,9,2,5,3,1,1,0,2,0,0,0,0,0,2,4,65,9,4,1,6,0,5,1,1,0,0,1,3,4,1,1,3,2,1,0,0,0,2,4,0,1,9,2,5,2,0,3,1,6,15,2,6,7,2,2,5,0,0,1,3,3,0,0,1,1,1,0,0,1,0,1,2,2,0,0,0
"168071",7,3,3,134,45,0,34,0,1,6,0,4,1,7,4,3,2,11,9,4,5,3,2,6,8,0,34,0,0,3,7,8,9,1,0,6,0,2,0,0,15,27,8,0,0,3,12,1,0,4,8,0,0,6,8,9,0,4,19,0,4,8,1,7,5,0,43,10,8,0,2,4,4,6,2,50,1,0,0,1,9,4,0,13,1,0,0,0,9,10,3,2,2,0,3,3,4,2,1,2,3,0,1,1,6,2,0,1,2,1
"182054",0,1,0,0,0,2,1,4,2,2,7,3,3,0,0,0,0,2,0,0,2,0,0,2,3,3,4,0,8,9,5,21,7,0,3,0,1,0,1,1,3,2,1,2,1,1,1,0,0,1,0,1,0,0,0,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0
