"","2010.2247","2010.2218","2010.2184","2010.1817","2010.2321","2010.2405","2010.2383","2010.2297","2010.1656","2010.1364","2010.3053","2010.3014","2010.3183","2010.1614","2010.1418","2010.1331","2010.1229","2010.1272","2010.1405","2010.1221","2010.2204","2010.1397","2010.2583","2010.2192","2010.1854","2010.1372","2010.1557","2010.2082","2010.1477","2010.2191","2010.2416","2010.2519","2010.1258","2010.2781","2010.1754","2010.2662","2010.2354","2010.2277","2010.1277","2010.1663","2010.2355","2010.2291","2010.1999","2010.1905","2010.1526","2010.2839","2010.2803","2010.1956","2010.1675","2010.1299","2010.2227","2010.2528","2010.2049","2010.1412","2010.1344","2010.1286","2010.1843","2010.1514","2010.3108","2010.1263","2010.1668","2010.2924","2010.1718","2010.1336","2010.2949","2010.3095","2010.1237","2010.2347","2010.1311","2010.3129","2010.1992","2010.1603","2010.1569","2010.2831","2010.2871","2010.2693","2010.2075","2010.1596","2010.1491","2010.1423","2010.2232","2010.2283","2010.2258","2010.2415","2010.1322","2010.2963","2010.3171","2010.3275","2010.3134","2010.3141","2010.1471","2010.2413","2010.2304","2010.2958","2010.1539","2010.3102","2010.2932","2010.1626","2010.2328","2010.1552","2010.1762","2010.1737","2010.1458","2010.1538","2010.3103","2010.1868","2010.1912","2010.1519","2010.1879","2010.2058","2010.1485","2010.2278","2010.1725","2010.1564","2010.2265","2010.1963","2010.3178","2010.3282","2010.2913","2010.2655","2010.2605","2010.2152","2010.1244","2010.1806","2010.3115","2010.2395","2010.1577","2010.1692","2010.2972","2010.1531","2010.2168","2010.2905"
"495079",0,1,11,1,5,16,13,3,17,0,6,2,3,0,7,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,4,10,0,4,0,0,0,0,14,0,2,0,0,1,10,0,3,1,0,0,0,0,0,0,0,0,2,0,0,2,5,9,11,21,0,0,9,0,11,0,1,0,2,0,11,4,0,5,1,0,13,3,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,10,5,0,0,0,0,0,0,0,9,1,0,5,15,7,0,3,1,8,0,6,0,0,4,1
"503372",2,27,1176,3,22,44,6,22,251,7,275,224,1093,0,40,118,0,1,7,107,594,133,419,1,4,0,3,1,0,3,2,4,0,273,2,0,40,66,45,0,99,3,0,86,0,1,4,35,0,0,0,0,327,0,1,0,275,0,1,6,0,70,0,833,38,157,196,86,106,0,97,0,15,0,128,0,107,0,52,1,25,2,8,0,27,5,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,529,42,1,243,0,1303,49,0,0,1,0,0,0,0,30,36,0,5,953,5,0,2,0,30,0,0,0,8,3,0
"495050",4,1,0,1,7,1,3,7,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,1,1,0,1,0,0,1,0,3,0,3,0,0,5,0,0,7,3,0,0,0,0,0,0,0,0,11,0,1,5,0,13,0,2,3,0,1,2,2,0,2,0,1,3,3,3,0,0,0,0,0,0,3,0,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,0,0,0,0,0,5,1,0,0,1,3,0,0,0,2,0,0,0,2,0,0
"4468234",21,336,75,10,299,782,40,61,1,7,0,0,3,0,1119,62,7374,508,1772,585,575,170,0,0,0,0,622,0,564,2,1,5,0,17,274,0,1,0,11,0,0,0,0,478,3,142,1,1,1,1,0,7,2,16,15,0,14,1,196,6,1,5,3,28,194,0,33,391,5,1,544,0,238,47,32,111,608,96,135,26,10,1,42,0,32,16,1249,54,70,5424,0,0,1,147,0,0,92,21,0,0,0,1,1,0,0,1,0,74,2,0,2,0,0,1,0,0,2425,2826,28,23,25,0,0,0,0,1,0,9,2,7,0,0
"328472",4,0,62,49,28,42,124,41,13,2,50,155,75,79,0,0,0,0,0,115,7,433,0,13,2,0,0,0,0,2,7,38,0,15,4,0,0,37,76,0,0,0,0,5,439,0,82,80,0,0,0,0,1,0,0,0,26,0,312,52,0,20,19,271,10,16,94,13,407,0,34,6,7,1,0,405,14,2,198,1,1,129,42,0,163,31,13,393,34,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,21,30,0,419,23,0,0,2,0,0,0,0,75,25,0,93,45,77,0,53,26,52,0,0,0,11,70,6
"801210",0,0,26,0,0,1,0,1,5,0,0,0,1,0,0,0,0,0,0,5,2108,10,0,0,5,0,17,0,11,3,0,1,0,332,30,0,0,0,0,1,0,0,0,10,0,0,0,4,0,0,0,0,2,0,1,0,11,0,16,6,546,0,3,11,0,0,6,519,0,0,1,0,32,0,0,9,5,164,3,142,725,7,84,0,0,0,158,114,87,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2094,8,210,3,0,0,0,23,0,36,0,8,1,74
"4481131",2,322,59,0,23,1003,9,24,1,0,39,3,90,0,0,0,0,0,201,52,815,0,1,1,0,0,338,0,528,1,0,0,0,1215,178,1,0,0,3,0,0,0,0,41,10,0,4,0,0,0,0,0,0,0,1,0,3,0,126,2,0,2,1,36,254,254,28,367,0,0,183,0,197,108,96,75,52,54,4,2,0,1,38,0,3,8,487,42,23,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,12,9,0,0,0,0,0,0
"1000986",98,751,305,8,234,625,482,21,68,94,6,386,583,0,79,1357,685,2311,4,29,95,35,3528,488,10,0,0,15,2,8,0,1,2,438,96,0,2,80,15,3,17,8,1,44,452,1,77,5,1,0,15,0,450,15,1336,2934,25,0,3,17,191,238,231,264,920,42,25,4,17,0,76,3,54,1,99,2,31,3,11,0,14,4,3,1,2,87,45,0,4,121,203,1,3,0,3,0,15,2,1,3,1,0,1102,38,0,77,0,1263,9,0,1,2,4,0,5,0,0,0,6,2,457,6,2,5,20,4,0,10,0,1,0,0
"424038",0,1,13,0,20,18,18,3,96,0,53,32,25,0,0,0,0,0,1,26,160,39,20,0,3,0,0,0,0,0,0,0,0,51,0,0,0,4,0,0,3,0,0,290,0,0,15,14,0,0,0,13,3,0,0,0,54,0,1,15,0,10,1,1,14,24,2,16,2,0,8,0,5,0,4,0,20,0,34,0,4,2,1,0,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,177,1,0,0,0,0,0,0,0,1,1,0,0,55,11,0,0,19,20,0,4,0,2,4,12
"134786",213,162,18,170,485,214,474,223,24,3,37,102,36,0,48,0,0,0,0,80,6,8,2,0,166,1,7,3,1,1,59,52,0,183,50,0,21,1,64,0,265,0,2,569,2,0,1271,271,1,0,1,7,61,1,0,0,1327,0,167,431,0,846,326,162,147,3,95,103,202,0,267,27,38,226,210,98,160,22,11,16,29,261,164,2,54,355,113,207,107,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,91,0,58,424,0,0,0,2,0,0,0,384,396,0,26,335,239,0,65,58,126,8,109,0,39,88,0
"4477696",0,1,12,1,2,1,1,0,0,1,0,0,0,0,6,6,3,80,19,1,2,93,1,1,2,0,31,11,2,2,0,1,3222,14,1,0,1,1,0,0,0,2,10,21,187,1,1,0,55,12,0,0,0,0,0,20,2,664,1,3,0,2,1,10,0,12,0,0,0,0,0,200,2,10,0,1,1,3,22,1,0,1,0,4,1,0,63,0,0,0,45,30,1,40,1,0,2,0,0,13,0,0,1,1,0,0,5,4,2,1,183,2,0,73,44,3,0,0,220,0,2,1,0,1,0,3,37,0,0,0,0,1
"1952",2,35,9,13,14,95,1,4,0,3,0,0,0,0,111,52,108,181,188,31,383,24,0,0,462,0,116,0,163,1,0,1,0,59,111,0,0,0,11,0,0,0,0,59,2,1120,6,0,0,1,0,0,0,3,1,0,2,0,16,1,8,5,0,33,294,0,51,106,1,0,138,0,21,90,62,20,17,7,15,12,15,2,2,0,5,22,34,0,0,0,0,0,0,115,0,0,562,66,0,0,1,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,6,5,0,0,2,0,0,1,0
"1082607",8,8,4,33,78,108,169,241,29,1,76,49,3,0,233,805,0,13,0,15,1,43,6,0,1,0,22,1,0,0,0,7,0,104,14,1,2,0,25,0,1,0,0,2,0,0,58,17,0,0,1,0,13,0,0,1,11,0,17,73,0,128,23,9,22,28,60,13,30,6,10,0,6,45,23,55,7,1,7,14,0,78,26,0,2,39,112,8,13,1,1,0,0,0,0,158,0,0,0,0,0,1,1,0,353,4,0,71,110,0,0,0,0,0,0,0,194,330,0,19,799,8,0,45,0,35,0,14,0,6,12,1
"4381553",22,70,0,7,139,60,14,23,0,0,0,0,0,1,4,0,19,1,96,34,2,1,1,0,0,0,8,0,25,1,0,2,0,805,6,0,0,0,0,0,0,0,0,1,2,5463,13,0,0,0,0,0,0,5,1,0,0,1,12,0,0,6,1,1,346,0,1,1,0,0,2,0,4,237,95,8,0,2,3,7,0,0,0,0,2,35,44,1,7,5,0,1,0,594,0,0,654,41,0,0,0,0,0,0,0,0,0,63,0,0,0,0,1,0,0,0,1,4,12892,0,1,0,0,0,0,1,0,0,1,0,0,0
"357930",2,0,0,624,29,3,63,44,17,0,0,0,0,0,3,0,0,0,0,116,4,319,0,1,0,0,564,0,328,1,0,42,0,0,7,0,0,0,2,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,1,0,5,0,3,527,0,31,12,0,1,0,17,37,179,0,2,0,299,0,0,13,4,189,157,118,21,121,209,0,113,0,4,81,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,112,0,0,0,0,0,0,0,0,0,0,24,1,24,0,216,97,358,0,0,0,3,70,1
"4452050",5,0,5,0,0,0,0,0,0,0,0,1,0,21,0,0,0,5,0,1,8,0,0,304,0,9,0,31,1,2562,3,0,0,0,0,3,16,206,0,0,8,221,23,0,5,1,1,0,0,42,1,14,0,0,10,0,0,8,0,0,0,0,0,0,1,0,0,3,0,0,0,43,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,223,777,0,21,0,0,0,828,19,63,247,2,3,0,2,23,0,0,0,36,563,81,14,870,20,20,3,0,0,0,0,137,0,0,0,41,0,0,0,0,0
"4376828",1,23,1,0,2,38,4,0,0,3,2,0,0,20,35,20,18,31,4,3,37,0,55,56,1,133,0,5,1,0,31,0,0,3,1,4,1,34,0,0,8,0,11,4,6,13,2,0,22,0,128,43,29,16,55,7,2,5,0,1,0,1,2,4,0,1,4,0,0,22,0,11,1,33,7,19,0,2,0,1,8,0,0,0,1,13,0,0,0,0,6,0,2,19,28,9,43,0,2,25,0,3,13,28,8,2,8,4,2,40,0,0,1,0,0,1,9,5,10,0,1,0,56,1,0,0,16,0,1,0,0,0
"4475758",0,0,1,0,0,1,0,0,0,0,9,9,0,0,88,72,211,209,9,0,0,0,0,47,0,0,0,229,0,26,0,1,0,1,0,70,6,0,0,0,15,2,59,0,0,1,0,0,0,0,1,0,1,0,56,340,0,3824,0,0,0,0,0,1,0,0,0,0,5,0,0,500,1,0,0,1,0,0,0,0,1,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,458,35,13,19,16,0,0,663,1,1,0,774,0,12,80,318,116,36,55,0,0,2,0,1,0,1,0,250,0,0,1,0,19
