"10317.000101067.56194",1561,11155,475,1646,71,31,674,1,518,0,135,115,3,352,2,1,19,40,95,2,5,36,0,0,0,381,6,0,170,152,4529,0,4,3,1,1,5,1,0,0
"10317.000038160.48065",454,6,276,1295,16,29514,94,5,320,0,31,1062,0,1,1,1,16,0,4,0,3,0,0,0,0,0,14,0,447,28,0,0,5,1,0,1,0,0,0,0
"10317.000050285.48049",6542,7,348,498,20,6168,49,0,36,158,75,1,10,112,0,0,0,0,13,2,283,413,0,0,0,45,303,1,0,1,4,0,1,0,0,1,0,0,0,0
"10317.000093067.54640",14591,24,362,1763,44,61,7,1,154,0,2712,7,1,7,7,1,1,1,18,0,210,1903,0,6,0,4,336,2,1,3,132,0,132,0,0,1,2,2,1,1
"10317.000058770.48082",813,5200,1566,817,525,8543,103,1,19,146,263,1,0,16,100,0,2,1454,23,108,50,133,0,0,3,1,206,3,0,12,2,0,32,0,0,0,11,30,0,59
"10317.000012795.48062",9,1411,3,174,4,1,2368,1,184,0,9,0,7,0,0,32,12754,1,310,0,1,0,0,3557,10,977,0,1,1,1,114,24,0,1128,1688,2,0,0,68,0
"10317.000058833.48077",4923,16,688,259,19,9747,1,0,78,35,315,3,2,38,0,0,1,56,7,0,178,516,0,0,0,0,0,9,0,16,0,0,12,0,0,1,0,0,0,0
"10317.000084680.48093",2606,13,6178,3720,3704,17,771,2139,160,2,696,3325,9,152,0,0,4,0,231,583,372,2,6,0,0,2,104,1,1069,16,0,4,37,0,0,0,122,0,0,1
"10317.000075888.56194",7179,40,315,343,117,9,1281,0,327,0,5452,3,0,92,0,40,2,577,97,0,1,1,0,1,1656,0,0,0,9,0,0,0,1,1,0,1,0,0,0,5
"10317.000058770.48077",813,5200,1566,817,525,8543,103,1,19,146,263,1,0,16,100,0,2,1454,23,108,50,133,0,0,3,1,206,3,0,12,2,0,32,0,0,0,11,30,0,59
"10317.000066832.48078",3,6,2,8,0,6,6,4,0,0,2,0,9,1,6,32845,21,1,0,0,0,0,0,50,1102,1,0,77,6,1,4,0,2,0,4,2,0,0,5,0
"10317.000058833.48082",4923,16,688,259,19,9747,1,0,78,35,315,3,2,38,0,0,1,56,7,0,178,516,0,0,0,0,0,9,0,16,0,0,12,0,0,1,0,0,0,0
"10317.000058459.48064",16,83,5377,5055,335,171,168,1,3934,0,3,1743,3,1,4,1,100,4,833,2,2,0,0,5,11,20,0,5,2203,335,0,19,2349,6,6,0,0,0,0,1
"10317.000020639.55074",294,651,2496,115,272,12553,39,0,164,2,111,0,3,5,0,5,1,266,128,29,20,12,0,2,25,0,88,0,11,31,0,0,42,1,0,0,0,0,0,2
"10317.000076331.51574",257,3300,555,373,321,6941,62,0,6,0,11,4,0,6,52,0,0,339,2,11,19,3,0,0,8,3,2,0,0,14,0,0,17,0,0,0,65,0,0,17
"10317.000066835.48078",52,19051,588,636,119,17,55,1,30,4,10,9,2,69,0,7,3,1274,25,5,5,0,0,1,6,5,8,1,3,29,0,0,153,1,0,0,8,48,3,34
"10317.000047151.48049",4265,30,1160,944,294,5875,19,0,76,6,724,107,0,2,0,0,0,154,21,0,329,62,0,0,0,0,48,2,0,47,0,0,76,0,0,0,0,2,0,0
"10317.000058927.81179",866,23,4126,5693,2635,161,1,63,183,0,187,62,14,4,0,732,35,3,71,13,133,49,8,0,48,0,0,0,1,365,0,0,185,7,1,0,410,0,0,27
"10317.000007305.48068",773,52,1405,702,471,512,146,0,25,0,102,0,133,0,2418,93,656,8,144,0,25,97,0,307,422,133,0,1,1064,0,74,513,0,280,204,4641,0,0,140,0
