"10317.000050336.48089",1508,2,901,1227,16,8181,3,1,21,4,84,14,11,0,1,3,1,0,8,0,53,1,0,0,6,0,6,0,5,2,0,0,8,0,0,0,0,0,0,0
"10317.000069763.48064",420,1155,3548,4590,2086,267,108,0,360,12,89,277,1,3,1,5,3,355,110,19,18,2,0,0,0,0,139,2,139,73,0,7,65,3,0,0,915,0,1,59
"10317.000072842.48065",5668,4,505,16824,373,648,560,61,760,0,11,0,2211,2,0,7,154,2,67,0,4,1,2,2,607,9,0,0,1,963,0,0,219,9,1,1,0,0,0,0
"10317.000039758.48090",22811,73,5978,9695,1518,54,185,47,305,0,788,20,6,89,166,17,316,1006,153,1,526,59,1,10,13,4,59,3,6,63,0,7,45,6,2,9,7,0,3,0
"10317.000023726.64038",2047,17,872,895,417,12804,28,0,25,0,56,13,14,71,104,1,11,1,9,8,221,255,0,0,67,5,23,0,1,32,0,0,61,1,3,1,31,0,2,0
"10317.000068013.48085",7641,45,6294,5915,2773,1,1025,2,381,0,250,45,551,727,0,2,20,2,31,10,380,9,259,1,40,17,25,0,11,171,1,0,18,0,0,3,1,0,0,1
"10317.000084472.66115",89685,622,6895,303486,2283,2375,1754,89,13752,24,153,565,5860,64,111,988,1007,70,1370,62,454,50,43,34,7429,1725,34,8,81,6164,22,98,1095,273,5,57,58,25,0,37
"10317.000107530.74740",5,2222,0,248,21,8,352,4,60,0,1458,8,366,3,18,5338,221,35,25,0,0,0,0,119,12667,107,0,114,11,4,3816,856,0,92,34,0,0,0,76,3
"10317.000028655.55074",2104,2141,1918,3287,280,12701,105,0,136,37,162,12,1,72,488,0,3,0,33,0,44,43,8,1,0,0,20,208,0,4,0,0,0,0,0,2,0,0,0,0
"10317.000102715.66115",82540,573,133539,212844,16809,6052,43579,159,1681,206,2696,71955,543,659,146,65,1632,158,5175,71,3786,3465,35,15,226,270,314,6,339,4227,39,6,5275,190,3,54,102,36,0,397
"10317.000071528.48086",11711,3,1400,1056,442,9243,198,4,14,0,5,38,1,162,36,21,12,0,5,1,198,223,0,1,1,1,7,1,0,13,0,1,5,0,0,0,0,0,2,1
"10317.000031514.48089",945,8,1391,2014,49,11422,324,0,122,51,274,29,2,3,7,0,2,12,18,0,183,1,7,0,0,0,83,0,10,5,0,1,0,0,0,0,1,0,0,0
"10317.000092753.54640",3323,36,2129,1328,526,1550,76,8589,92,0,350,17,8,93,3,0,3,0,17,104,48,150,622,2,1,2,152,6,0,43,0,1,43,4,0,1,58,0,0,8
"10317.000027651.55074",798,178,2120,1365,13334,43,2969,1,287,10,193,547,8,90,45,3,219,309,140,22,237,40,1,3,11,4,137,0,83,376,0,0,205,7,0,20,312,0,0,0
"10317.000039931.48078",1,65,4,123,5,5,143,0,15,0,6,1,6,0,17,31,1001,0,108,0,0,0,0,5665,16,84,0,36647,6,1,2,1,0,914,218,0,0,0,50,0
